ticket_id,epic,title,user_story,acceptance_criteria,priority
ROS-MVP-001,Project Foundation,Set up production monorepo tooling,"As a developer, I need the repo to install, build, test, and lint consistently.",package manager configured; TypeScript base config works; CI workflow runs; README setup works,P0
ROS-MVP-002,Design System,Port ROS design tokens into production UI package,"As a developer, I need reusable tokens and base styles matching the approved ROS brand.",tokens exported; styles imported by web app; sidebar/card/button/table styles available,P0
ROS-MVP-003,Database,Initialize Prisma and Postgres schema,"As a developer, I need the database schema migrated so core objects can persist.",Prisma generate works; migration runs; core tables created; env example documented,P0
ROS-MVP-004,Authentication,Add managed authentication scaffold,"As an owner, I need secure login before any workspace data is visible.",protected app routes; user identity available; unauthenticated users redirected; role seed supported,P0
ROS-MVP-005,Workspace,Create Koinonia workspace seed,"As an owner, I need a default Koinonia workspace to contain users, objects, and settings.",workspace seed creates Koinonia; settings stored; dashboard queries scoped by workspace,P0
ROS-MVP-006,Object Engine,Implement Object API with Prisma persistence,"As a user, I need to create, view, update, and archive shared objects.",GET/POST/PATCH endpoints work; validation exists; archived objects excluded by default; timeline event created on update,P0
ROS-MVP-007,Relationship Graph,Implement object relationship API,"As a user, I need linked objects to show context across modules.",relationships can be created/deleted; object detail returns related objects; relationship types stored,P1
ROS-MVP-008,Object Explorer,Build database-backed Object Explorer UI,"As a user, I need to search and filter shared objects in the app.",object list loads from API; filters by type/status/health; detail panel opens; related objects display,P1
ROS-MVP-009,Timeline,Create timeline event service,"As a user, I need an audit trail when meaningful changes occur.",timeline events created for object create/update/archive; object-specific timeline endpoint works; UI displays events,P1
ROS-MVP-010,CRM,Build CRM relationship module MVP,"As a Koinonia user, I need to manage agents, clients, brokerages, and referral partners.",relationship object type supported; list/profile views; next action field; follow-up task creation,P1
ROS-MVP-011,Transactions,Build transaction module MVP,"As a coordinator, I need to manage transaction status, health, deadlines, tasks, and exceptions.",transaction object profile; status/health updates; linked property/client/tasks; exception panel,P1
ROS-MVP-012,Operations,Build operations work queue MVP,"As an operator, I need to see prioritized tasks and complete work.",tasks list by priority/due date; complete action; owner assignment; dashboard due counts update,P1
ROS-MVP-013,Finance,Build basic invoice and payment MVP,"As an owner, I need to track invoices, payments, and revenue by service.",invoice CRUD; payment record; paid/pending status; revenue metrics endpoint,P2
ROS-MVP-014,Knowledge,Build repository metadata MVP,"As a user, I need to find certified objects, templates, and playbooks.",repository items stored as objects or metadata; search works; certified object list visible,P2
ROS-MVP-015,Copilot,Add read-only Copilot context endpoint,"As an owner, I need AI recommendations grounded in object context without direct writes.",endpoint accepts question and object IDs; returns answer with references; no mutations performed,P2
ROS-MVP-016,Analytics,Implement dashboard metric service,"As an owner, I need dashboard KPIs computed from database records.","active objects, critical objects, tasks due, revenue metrics computed from DB; no hardcoded KPI values",P2
ROS-MVP-017,Notifications,Build notification model and list UI,"As a user, I need alerts for critical work and follow-ups.",notifications table used; notification list displays; mark read/resolve supported,P3
ROS-MVP-018,Workflow Engine,Create workflow definition storage,"As an operator, I need reusable workflow definitions tied to service objects.",workflow definitions stored; workflow runs can start; current stage stored; linked to object,P3
ROS-MVP-019,Automation,Add safe automation test runner,"As an admin, I need to test automation rules before enabling them.",rules can be listed; test endpoint returns proposed actions; no automatic destructive writes,P3
ROS-MVP-020,Security,Add permissions checks to APIs,"As an owner, I need access controlled by role and workspace.",workspace scoping enforced; role permissions checked for write actions; tests cover denial cases,P0
