source,target,relationship
REL-000001,BRK-000001,related_to
REL-000001,CLI-000001,related_to
REL-000001,TXN-000001,related_to
REL-000001,INV-1007,related_to
REL-000001,CS-000001,related_to
CLI-000001,REL-000001,related_to
CLI-000001,PKG-000001,related_to
CLI-000001,TXN-000001,related_to
CLI-000001,INV-1007,related_to
BRK-000001,REL-000001,related_to
PTY-000001,TXN-000001,related_to
PTY-000001,DOC-000001,related_to
TXN-000001,CLI-000001,related_to
TXN-000001,REL-000001,related_to
TXN-000001,PTY-000001,related_to
TXN-000001,TASK-000001,related_to
TXN-000001,EXC-000001,related_to
TXN-000001,INV-1007,related_to
TXN-000001,CS-000001,related_to
TASK-000001,TXN-000001,related_to
TASK-000001,QA-000001,related_to
TASK-000001,EXC-000001,related_to
QA-000001,TXN-000001,related_to
QA-000001,TASK-000001,related_to
QA-000001,EXC-000001,related_to
EXC-000001,TXN-000001,related_to
EXC-000001,TASK-000001,related_to
EXC-000001,QA-000001,related_to
INV-1007,TXN-000001,related_to
INV-1007,CLI-000001,related_to
INV-1007,PAY-000001,related_to
INV-1007,PKG-000001,related_to
PAY-000001,INV-1007,related_to
PAY-000001,CLI-000001,related_to
PKG-000001,OBJ-00000002,related_to
PKG-000001,INV-1007,related_to
PKG-000001,CLI-000001,related_to
OBJ-00000002,PKG-000001,related_to
OBJ-00000002,TXN-000001,related_to
OBJ-00000002,WF-000001,related_to
WF-000001,OBJ-00000002,related_to
WF-000001,TXN-000001,related_to
WF-000001,TASK-000001,related_to
CS-000001,CLI-000001,related_to
CS-000001,REL-000001,related_to
CS-000001,TXN-000001,related_to
DRF-000001,REL-000002,related_to
DRF-000001,TASK-000002,related_to
REL-000002,DRF-000001,related_to
SHW-000001,PTY-000002,related_to
SHW-000001,TASK-000003,related_to
PTY-000002,SHW-000001,related_to
TASK-000002,DRF-000001,related_to
TASK-000003,SHW-000001,related_to
